,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
123,119,Chuma Okeke,ORL,2,2,31.7,4.0,10.0,.400,2.0,6.0,.333,0.5,0.5,1.000,2.5,1.5,4.0,1.5,1.0,1.0,0.0,1.5,10.5,9.5
124,120,Taurean Prince,MIN,2,0,20.6,3.0,5.5,.545,1.0,2.5,.400,5.0,5.0,1.000,0.5,0.5,1.0,0.5,0.0,0.5,0.0,3.0,12.0,9.4
126,121,Killian Hayes,DET,3,2,31.3,4.3,10.7,.406,1.3,4.3,.308,0.7,0.7,1.000,1.0,4.0,5.0,5.3,2.0,0.3,2.7,2.0,10.7,9.3
127,122,Jalen McDaniels,CHO,3,0,29.3,4.3,7.7,.565,1.3,2.7,.500,1.7,2.0,.833,0.7,3.3,4.0,2.7,0.3,0.7,1.7,2.7,11.7,9.3
128,123,RJ Barrett,NYK,3,3,31.5,5.7,15.0,.378,1.0,5.0,.200,5.0,7.3,.682,0.7,2.3,3.0,3.0,0.3,0.0,1.3,3.0,17.3,9.2
129,124,Nicolas Batum,LAC,3,0,21.1,3.7,6.3,.579,3.0,5.0,.600,0.3,1.3,.250,1.0,4.7,5.7,0.3,0.7,1.0,1.0,2.0,10.7,9.2
130,125,Bol Bol,ORL,2,2,30.8,5.0,10.5,.476,2.5,4.5,.556,1.0,1.0,1.000,1.5,10.5,12.0,1.5,0.0,1.0,4.5,1.0,13.5,9.2
131,126,Anthony Lamb,GSW,3,0,20.6,4.0,6.0,.667,2.7,4.3,.615,0.0,0.0,,0.7,2.3,3.0,2.0,0.0,0.0,0.7,2.0,10.7,9.2
132,127,Jaden McDaniels,MIN,2,2,32.2,4.0,8.5,.471,1.5,3.0,.500,2.5,4.0,.625,1.5,1.5,3.0,0.0,2.0,1.5,0.0,6.0,12.0,9.2
133,128,Jericho Sims,NYK,3,0,19.3,3.3,4.0,.833,0.0,0.0,,0.3,0.3,1.000,4.3,4.0,8.3,1.0,0.3,0.3,0.3,3.7,7.0,9.2
134,129,Yuta Watanabe,BRK,2,0,21.0,4.5,8.0,.563,1.5,3.5,.429,0.5,0.5,1.000,1.5,2.0,3.5,1.5,0.0,0.5,0.5,1.5,11.0,9.2
135,130,Jabari Smith Jr.,HOU,2,2,28.1,3.0,8.0,.375,1.0,3.0,.333,1.0,2.0,.500,3.5,7.0,10.5,1.5,1.5,1.0,0.5,3.5,8.0,9.1
136,131,Duane Washington Jr.,PHO,2,0,13.2,5.0,10.0,.500,3.0,6.0,.500,0.0,0.0,,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,13.0,9.1
137,132,Jalen Smith,IND,1,1,25.3,6.0,11.0,.545,3.0,7.0,.429,1.0,2.0,.500,0.0,5.0,5.0,2.0,0.0,0.0,3.0,3.0,16.0,9.0
138,133,Devin Vassell,SAS,3,3,30.5,6.3,14.3,.442,2.0,6.3,.316,1.7,1.7,1.000,0.0,3.7,3.7,1.0,0.3,1.0,2.0,1.7,16.3,9.0
139,134,Giannis Antetokounmpo,MIL,1,1,30.9,8.0,21.0,.381,0.0,3.0,.000,11.0,18.0,.611,1.0,7.0,8.0,4.0,1.0,0.0,8.0,6.0,27.0,8.9
140,135,Brook Lopez,MIL,2,2,31.3,4.5,11.0,.409,1.5,5.5,.273,5.0,6.0,.833,1.0,3.0,4.0,1.5,0.5,1.0,3.0,3.0,15.5,8.9
141,136,JaMychal Green,GSW,1,0,16.0,3.0,5.0,.600,1.0,3.0,.333,2.0,2.0,1.000,0.0,5.0,5.0,2.0,0.0,2.0,1.0,3.0,9.0,8.8
142,137,Talen Horton-Tucker,UTA,3,0,15.2,2.7,7.3,.364,0.7,2.3,.286,3.7,4.0,.917,0.0,1.7,1.7,6.0,0.0,0.3,1.3,0.7,9.7,8.8
143,138,Torrey Craig,PHO,2,2,33.8,3.5,9.0,.389,1.0,3.5,.286,1.5,2.0,.750,4.5,2.0,6.5,1.5,1.0,1.0,1.0,3.0,9.5,8.7
144,139,Kevin Love,CLE,2,1,25.6,3.0,10.5,.286,2.5,7.0,.357,3.0,3.5,.857,2.0,4.0,6.0,3.0,0.5,0.0,1.0,2.0,11.5,8.6
145,140,Ivica Zubac,LAC,3,3,28.9,3.0,5.0,.600,0.0,0.0,,3.3,4.3,.769,3.3,6.3,9.7,1.7,0.0,1.0,2.7,3.7,9.3,8.6
147,141,LaMelo Ball,CHO,2,2,30.9,6.0,18.0,.333,2.5,12.0,.208,1.5,1.5,1.000,0.0,5.0,5.0,7.5,0.5,0.5,3.5,3.5,16.0,8.5
148,142,Dillon Brooks,MEM,3,3,32.8,7.3,19.0,.386,2.0,8.0,.250,3.0,3.3,.900,0.3,3.0,3.3,1.0,0.3,0.0,1.7,3.0,19.7,8.5
149,143,Kentavious Caldwell-Pope,DEN,2,2,29.2,4.0,9.5,.421,2.5,4.5,.556,2.0,2.5,.800,0.0,1.5,1.5,1.5,1.0,0.0,0.5,2.0,12.5,8.5
150,144,Nic Claxton,BRK,3,3,21.8,4.3,6.0,.722,0.0,0.0,,0.3,2.3,.143,1.3,5.3,6.7,1.0,0.3,1.0,0.7,2.0,9.0,8.5
151,145,Isaiah Stewart,DET,3,3,23.7,3.3,7.0,.476,2.0,3.3,.600,1.3,1.7,.800,2.0,5.0,7.0,1.7,0.3,1.0,1.7,3.0,10.0,8.5
152,146,Keita Bates-Diop,SAS,3,1,19.5,3.3,6.7,.500,0.7,2.0,.333,0.0,0.0,,3.0,1.7,4.7,1.3,1.0,0.0,0.0,0.3,7.3,8.4
153,147,Jordan Goodwin,WAS,3,0,25.1,2.3,6.3,.368,2.0,2.7,.750,0.3,0.7,.500,1.0,4.7,5.7,4.0,1.0,1.0,0.7,2.3,7.0,8.4
154,148,Damion Lee,PHO,2,0,22.2,4.0,7.5,.533,3.0,6.0,.500,0.0,0.0,,0.0,2.5,2.5,1.0,1.0,0.0,1.0,1.0,11.0,8.4
155,149,Trey Murphy III,NOP,3,1,24.6,4.0,9.7,.414,2.0,6.3,.316,1.7,1.7,1.000,0.3,1.7,2.0,0.7,0.3,1.3,0.3,0.7,11.7,8.4
156,150,Marvin Bagley III,DET,2,1,22.9,4.0,8.0,.500,0.5,1.5,.333,1.5,1.5,1.000,2.5,2.0,4.5,0.5,0.5,1.0,1.0,1.5,10.0,8.3
157,151,Draymond Green,GSW,3,3,30.7,1.7,6.0,.278,0.0,1.3,.000,0.7,0.7,1.000,0.7,7.0,7.7,10.0,0.7,0.3,1.3,3.3,4.0,8.3
158,152,Jeremiah Robinson-Earl,OKC,2,1,22.3,4.5,6.5,.692,1.5,2.0,.750,0.0,0.0,,2.5,3.5,6.0,0.0,0.0,0.0,0.5,4.5,10.5,8.3
159,153,Aaron Nesmith,IND,1,0,14.7,3.0,5.0,.600,2.0,3.0,.667,2.0,2.0,1.000,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,10.0,8.2
160,154,Norman Powell,LAC,3,0,22.6,4.0,11.3,.353,1.0,4.0,.250,3.7,4.0,.917,0.3,2.0,2.3,1.7,1.3,0.3,1.0,1.3,12.7,8.2
161,155,Jalen Williams,OKC,3,1,28.8,5.0,8.3,.600,0.7,3.7,.182,0.0,0.3,.000,0.3,2.7,3.0,4.3,0.3,0.3,1.7,3.7,10.7,8.2
162,156,Caris LeVert,CLE,2,2,30.6,5.0,11.5,.435,1.5,4.0,.375,0.5,1.0,.500,2.0,1.5,3.5,2.5,0.0,0.5,1.0,1.5,12.0,8.1
163,157,Jose Alvarado,NOP,3,0,19.4,3.7,7.3,.500,1.7,4.3,.385,0.0,0.0,,0.3,2.3,2.7,4.0,1.0,0.3,1.0,3.3,9.0,8.0
164,158,Josh Hart,POR,3,3,36.3,3.3,8.7,.385,0.3,1.7,.200,1.3,2.7,.500,2.0,5.7,7.7,3.3,1.7,0.0,1.3,2.0,8.3,8.0
165,159,Th?o Maledon,CHO,3,0,17.3,2.3,2.7,.875,0.7,1.0,.667,2.0,2.3,.857,0.0,3.7,3.7,2.0,0.7,0.0,0.7,2.0,7.3,8.0
166,160,Mikal Bridges,PHO,2,2,38.5,5.0,13.5,.370,1.5,4.5,.333,0.0,0.0,,1.0,3.5,4.5,4.0,0.5,0.5,1.0,1.5,11.5,7.9
168,161,R.J. Hampton,ORL,2,0,10.6,3.0,5.0,.600,1.5,3.0,.500,1.5,1.5,1.000,0.0,0.0,0.0,1.5,1.0,0.5,1.0,0.5,9.0,7.9
169,162,Malik Monk,SAC,3,0,20.9,3.7,8.0,.458,0.7,2.7,.250,3.7,3.7,1.000,0.7,1.0,1.7,4.3,0.0,0.0,2.7,2.0,11.7,7.9
170,163,Cameron Payne,PHO,2,2,32.9,6.0,16.0,.375,3.0,8.0,.375,0.5,0.5,1.000,0.0,3.0,3.0,4.5,1.0,0.0,2.5,3.5,15.5,7.9
171,164,Fred VanVleet,TOR,1,1,28.6,5.0,12.0,.417,3.0,7.0,.429,2.0,5.0,.400,0.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,15.0,7.9
172,165,Dewayne Dedmon,MIA,3,0,13.2,3.7,6.7,.550,1.0,2.0,.500,0.3,1.3,.250,2.3,1.0,3.3,0.7,0.3,1.3,0.0,2.3,8.7,7.8
173,166,Goran Dragi?,CHI,1,0,22.6,5.0,10.0,.500,1.0,2.0,.500,0.0,0.0,,0.0,1.0,1.0,6.0,1.0,0.0,3.0,2.0,11.0,7.7
174,167,Reggie Jackson,LAC,3,3,27.1,4.0,7.7,.522,1.7,5.0,.333,0.0,0.0,,0.3,3.7,4.0,4.7,0.7,0.0,2.7,2.0,9.7,7.7
175,168,Onyeka Okongwu,ATL,2,0,19.2,4.0,5.5,.727,0.0,0.0,,0.0,0.0,,1.5,6.5,8.0,0.5,0.0,1.5,0.5,5.0,8.0,7.7
176,169,Aaron Wiggins,OKC,3,1,22.8,3.0,6.0,.500,0.7,1.7,.400,1.3,1.7,.800,1.0,2.7,3.7,3.3,0.7,0.3,0.7,3.0,8.0,7.7
177,170,Tari Eason,HOU,2,0,17.9,2.5,5.5,.455,1.0,3.0,.333,1.0,1.0,1.000,1.0,1.5,2.5,1.5,2.5,0.0,0.5,2.0,7.0,7.6
178,171,Drew Eubanks,POR,3,2,31.3,2.7,3.7,.727,0.0,0.0,,0.3,0.3,1.000,2.0,5.7,7.7,1.3,1.0,0.3,0.3,3.7,5.7,7.6
179,172,Monte Morris,WAS,3,3,25.3,3.0,8.3,.360,0.7,2.7,.250,0.3,0.7,.500,0.7,4.0,4.7,6.0,0.7,0.3,1.0,1.0,7.0,7.6
180,173,Obi Toppin,NYK,3,0,18.4,3.3,6.0,.556,2.3,4.7,.500,0.0,0.0,,0.7,3.7,4.3,1.7,0.3,0.3,1.3,1.3,9.0,7.6
181,174,Will Barton,WAS,3,0,22.7,3.3,9.3,.357,1.7,5.3,.313,1.7,1.7,1.000,0.7,4.0,4.7,2.7,0.3,0.7,1.3,0.7,10.0,7.5
182,175,Daniel Gafford,WAS,3,0,18.6,1.7,1.7,1.000,0.0,0.0,,2.7,4.3,.615,1.7,4.0,5.7,0.7,0.0,2.3,1.0,2.0,6.0,7.5
183,176,Kevon Looney,GSW,3,3,25.8,2.7,4.7,.571,0.0,0.0,,0.3,0.3,1.000,2.7,5.0,7.7,3.0,0.3,1.3,1.7,2.7,5.7,7.5
184,177,Payton Pritchard,BOS,3,0,14.9,3.7,6.7,.550,1.0,2.7,.375,0.3,0.7,.500,2.7,1.0,3.7,1.0,1.0,0.0,1.7,0.0,8.7,7.5
185,178,Kyle Anderson,MIN,2,0,23.0,3.5,8.5,.412,1.5,3.5,.429,0.0,0.0,,0.0,5.0,5.0,4.5,1.0,0.5,2.0,1.5,8.5,7.4
186,179,Isaiah Hartenstein,NYK,3,3,25.9,3.0,5.7,.529,0.3,1.0,.333,1.0,1.3,.750,4.0,5.3,9.3,0.7,0.7,0.7,1.7,3.3,7.3,7.4
187,180,Scottie Barnes,TOR,3,3,33.9,4.3,12.7,.342,0.3,2.7,.125,1.3,2.0,.667,1.3,4.3,5.7,4.3,1.3,1.3,2.3,2.0,10.3,7.3
189,181,Jordan Nwora,MIL,2,1,25.2,3.0,10.5,.286,1.5,5.0,.300,1.5,1.5,1.000,1.5,4.5,6.0,4.0,0.0,0.0,0.0,2.0,9.0,7.3
190,182,Cam Thomas,BRK,3,0,22.8,3.0,7.7,.391,0.3,1.7,.200,4.0,5.0,.800,0.0,2.3,2.3,2.7,1.0,0.0,1.7,1.0,10.3,7.3
191,183,Klay Thompson,GSW,2,2,31.0,4.5,14.5,.310,3.5,10.0,.350,0.5,1.0,.500,0.5,5.5,6.0,2.0,1.0,0.5,1.5,1.5,13.0,7.1
192,184,Charles Bassey,SAS,3,0,19.5,2.7,4.0,.667,0.3,0.7,.500,0.0,0.0,,3.7,5.0,8.7,2.7,0.0,2.3,3.0,3.7,5.7,7.0
193,185,Jarred Vanderbilt,UTA,3,3,22.0,2.7,4.3,.615,0.3,1.3,.250,0.3,1.3,.250,3.3,5.7,9.0,1.7,0.7,0.0,1.7,2.0,6.0,7.0
194,186,Dorian Finney-Smith,DAL,3,3,33.2,3.7,9.3,.393,3.3,7.3,.455,0.0,0.0,,0.3,4.0,4.3,0.7,1.3,0.0,1.0,2.3,10.7,6.9
195,187,Malachi Flynn,TOR,3,0,16.7,3.0,7.3,.409,2.0,4.3,.462,2.7,3.0,.889,0.0,2.3,2.3,1.7,0.3,0.3,1.3,2.0,10.7,6.9
196,188,Ben Simmons,BRK,2,0,17.4,3.0,4.5,.667,0.0,0.0,,0.5,1.0,.500,0.5,4.5,5.0,3.0,0.5,0.0,1.0,2.0,6.5,6.9
197,189,Steven Adams,MEM,3,3,23.0,2.7,4.3,.615,0.0,0.0,,0.3,2.0,.167,4.3,3.7,8.0,3.3,0.7,0.3,2.0,4.0,5.7,6.8
198,190,Tim Hardaway Jr.,DAL,3,0,27.3,3.7,10.7,.344,2.7,8.7,.308,0.7,1.0,.667,0.7,2.0,2.7,3.0,1.3,0.0,1.7,1.3,10.7,6.8
199,191,Juancho Hernang?mez,TOR,3,0,18.7,2.3,4.3,.538,1.0,2.0,.500,0.3,0.7,.500,1.0,5.0,6.0,2.0,1.0,0.0,1.0,1.3,6.0,6.8
200,192,Jordan Clarkson,UTA,3,3,28.6,5.7,16.3,.347,2.3,8.7,.269,1.3,1.3,1.000,1.3,1.0,2.3,3.0,0.0,0.3,2.3,1.0,15.0,6.7
201,193,John Collins,ATL,3,3,30.9,3.7,10.7,.344,0.3,3.7,.091,3.3,3.3,1.000,1.7,4.7,6.3,0.7,0.7,0.7,1.0,3.7,11.0,6.7
202,194,Tyus Jones,MEM,3,1,25.0,3.7,9.3,.393,0.7,3.0,.222,0.7,0.7,1.000,0.3,1.3,1.7,3.7,1.0,0.0,1.0,0.3,8.7,6.7
203,195,Collin Sexton,UTA,3,0,21.4,4.7,9.7,.483,0.3,1.3,.250,2.0,3.3,.600,0.7,1.7,2.3,2.3,0.3,0.0,1.7,2.3,11.7,6.6
204,196,Rui Hachimura,WAS,3,0,23.3,5.0,11.0,.455,1.3,3.3,.400,1.0,1.0,1.000,0.0,4.7,4.7,0.7,0.0,0.3,1.7,1.3,12.3,6.5
205,197,Serge Ibaka,MIL,2,0,16.0,3.0,6.0,.500,1.0,2.5,.400,1.0,2.5,.400,2.5,3.5,6.0,0.0,0.0,0.0,0.0,2.0,8.0,6.4
206,198,Herbert Jones,NOP,3,3,25.4,3.3,6.7,.500,0.7,2.0,.333,1.3,1.7,.800,1.0,2.0,3.0,1.7,0.0,0.3,0.3,3.0,8.7,6.4
207,199,Hamidou Diallo,DET,3,0,15.7,2.7,5.7,.471,0.3,1.0,.333,3.0,3.7,.818,1.0,0.7,1.7,1.0,0.3,0.3,0.7,1.7,8.7,6.3
208,200,Saddiq Bey,DET,3,2,29.5,3.3,11.0,.303,1.0,4.7,.214,2.3,2.3,1.000,1.3,3.0,4.3,2.0,1.0,0.0,1.0,1.7,10.0,6.2
210,201,Usman Garuba,HOU,2,0,20.3,1.5,2.5,.600,0.5,0.5,1.000,1.0,2.0,.500,1.5,3.5,5.0,1.0,1.0,2.0,1.0,2.5,4.5,6.2
211,202,Andrew Nembhard,IND,1,1,21.6,3.0,5.0,.600,2.0,3.0,.667,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,8.0,6.2
212,203,Shaedon Sharpe,POR,2,0,21.0,3.5,5.0,.700,1.5,2.5,.600,0.5,1.0,.500,0.0,1.5,1.5,0.0,0.0,0.5,0.5,2.0,9.0,6.2
213,204,Jeremy Sochan,SAS,3,3,27.0,3.7,7.7,.478,0.0,1.7,.000,2.0,2.3,.857,1.0,5.0,6.0,2.0,0.3,1.0,2.0,4.3,9.3,6.2
214,205,Christian Braun,DEN,2,0,19.8,2.0,3.5,.571,0.5,1.0,.500,1.0,1.0,1.000,0.0,2.0,2.0,1.5,1.0,0.0,0.0,1.0,5.5,6.1
215,206,Kenyon Martin Jr.,HOU,2,0,23.2,4.0,7.0,.571,0.0,2.5,.000,0.5,0.5,1.000,2.0,4.0,6.0,1.0,0.0,0.0,2.0,1.0,8.5,6.1
216,207,Eric Gordon,HOU,2,2,27.8,3.5,7.5,.467,1.0,3.5,.286,1.5,1.5,1.000,0.0,1.0,1.0,2.5,0.0,0.5,1.5,1.5,9.5,6.0
217,208,Mike Muscala,OKC,1,0,12.4,2.0,3.0,.667,2.0,3.0,.667,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,6.0,6.0
218,209,Isaiah Livers,DET,3,0,21.3,1.7,5.3,.313,1.3,4.7,.286,2.3,3.0,.778,1.7,2.3,4.0,1.0,0.0,1.0,0.3,1.7,7.0,5.9
219,210,Dwight Powell,DAL,3,3,21.4,2.7,4.7,.571,0.0,0.0,,1.0,1.3,.750,2.7,1.0,3.7,1.7,0.7,0.0,1.0,2.7,6.3,5.9
220,211,Reggie Bullock,DAL,3,3,25.1,2.3,5.7,.412,2.0,5.3,.375,0.3,0.7,.500,0.3,3.0,3.3,1.3,1.0,0.0,0.0,2.7,7.0,5.8
221,212,Wenyen Gabriel,LAL,2,1,16.8,4.0,5.5,.727,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,1.0,1.0,2.5,8.5,5.8
222,213,Blake Griffin,BOS,1,1,22.2,3.0,6.0,.500,1.0,3.0,.333,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,5.8
223,214,Kenrich Williams,OKC,3,0,19.5,2.3,5.0,.467,0.3,1.0,.333,0.3,0.7,.500,0.7,2.7,3.3,1.7,1.0,0.0,0.0,0.7,5.3,5.8
224,215,Gorgui Dieng,SAS,1,0,9.0,1.0,4.0,.250,1.0,3.0,.333,3.0,4.0,.750,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,5.6
225,216,John Konchar,MEM,3,2,31.9,2.3,5.7,.412,0.7,2.7,.250,0.0,0.0,,1.3,6.7,8.0,1.3,0.7,0.0,0.3,2.3,5.3,5.6
226,217,Markieff Morris,BRK,1,0,20.4,2.0,6.0,.333,1.0,3.0,.333,0.0,0.0,,1.0,3.0,4.0,5.0,0.0,1.0,1.0,2.0,5.0,5.6
227,218,Mike Conley,UTA,3,3,31.7,1.7,8.3,.200,0.7,5.0,.133,1.3,1.3,1.000,0.3,2.3,2.7,8.3,1.7,0.0,2.0,2.7,5.3,5.5
228,219,Frank Kaminsky,ATL,1,0,13.3,3.0,3.0,1.000,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,5.5
229,220,Terance Mann,LAC,3,0,19.3,2.0,4.3,.462,0.0,1.7,.000,2.0,2.3,.857,0.0,3.3,3.3,2.3,0.0,0.3,0.3,1.7,6.0,5.5
231,221,Jeff Green,DEN,2,0,20.2,2.5,4.5,.556,0.0,0.5,.000,1.5,1.5,1.000,0.5,1.5,2.0,2.0,0.0,0.5,1.0,1.5,6.5,5.3
232,222,Troy Brown Jr.,LAL,2,2,29.4,2.5,6.5,.385,0.5,2.0,.250,0.0,0.0,,0.5,3.0,3.5,0.5,2.0,0.0,0.0,1.0,5.5,5.2
233,223,Montrezl Harrell,PHI,2,0,4.5,2.5,3.0,.833,0.0,0.0,,1.0,1.5,.667,1.0,1.0,2.0,0.0,0.5,0.5,1.0,1.0,6.0,5.2
234,224,Rudy Gay,UTA,2,0,15.4,2.0,3.5,.571,1.5,2.5,.600,0.0,0.0,,0.0,2.5,2.5,0.5,0.5,0.0,0.0,1.0,5.5,5.1
235,225,Luke Kornet,BOS,3,0,8.8,1.7,3.0,.556,0.0,0.0,,1.3,1.3,1.000,1.3,1.7,3.0,0.7,0.0,0.7,0.0,1.3,4.7,5.1
236,226,Tre Mann,OKC,2,0,15.6,3.0,8.0,.375,2.0,6.0,.333,0.0,0.0,,0.5,1.0,1.5,0.5,1.0,0.0,0.5,0.0,8.0,5.1
237,227,De'Anthony Melton,PHI,2,1,24.4,2.5,6.0,.417,0.5,2.0,.250,0.0,0.0,,3.0,5.0,8.0,1.5,0.0,0.5,2.0,0.5,5.5,5.1
238,228,Keegan Murray,SAC,3,3,24.9,3.7,8.3,.440,1.7,4.7,.357,0.0,0.0,,0.0,2.7,2.7,0.0,1.3,0.3,1.0,2.3,9.0,5.1
239,229,Georges Niang,PHI,3,0,18.8,1.7,5.0,.333,1.0,4.3,.231,1.7,1.7,1.000,0.3,0.7,1.0,1.3,0.7,1.3,0.3,1.7,6.0,5.1
240,230,Jusuf Nurki?,POR,1,1,15.0,4.0,9.0,.444,0.0,0.0,,1.0,2.0,.500,2.0,3.0,5.0,1.0,0.0,0.0,1.0,2.0,9.0,5.1
241,231,Terrence Ross,ORL,2,0,23.2,3.0,7.5,.400,1.5,3.5,.429,1.0,1.0,1.000,1.0,1.5,2.5,3.0,0.0,0.0,2.0,1.5,8.5,5.1
242,232,Jeff Dowtin,TOR,1,0,15.0,2.0,3.0,.667,0.0,1.0,.000,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,4.0,5.0
243,233,Shake Milton,PHI,3,0,16.6,2.7,4.7,.571,0.0,0.7,.000,0.7,1.3,.500,0.7,2.3,3.0,2.0,0.0,0.3,1.0,1.0,6.0,4.9
244,234,KZ Okpala,SAC,1,0,12.4,1.0,1.0,1.000,0.0,0.0,,4.0,4.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.9
245,235,Walker Kessler,UTA,3,0,15.1,2.0,3.7,.545,0.0,0.0,,0.0,0.7,.000,3.0,3.7,6.7,0.3,0.3,1.3,1.3,1.3,4.0,4.8
246,236,Jock Landale,PHO,2,0,10.8,2.0,3.5,.571,0.0,1.0,.000,0.5,1.0,.500,2.0,2.5,4.5,0.0,0.0,0.0,0.0,0.0,4.5,4.8
247,237,David Roddy,MEM,3,0,16.1,2.7,5.3,.500,0.7,2.0,.333,0.3,0.7,.500,0.7,2.0,2.7,0.7,0.0,0.3,0.3,0.3,6.3,4.8
248,238,Simone Fontecchio,UTA,2,0,9.6,1.5,3.0,.500,1.5,2.5,.600,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.5,0.5,0.0,4.5,4.6
249,239,Danuel House Jr.,PHI,3,0,17.9,1.7,2.7,.625,0.7,1.7,.400,0.7,1.0,.667,0.0,0.7,0.7,0.3,1.0,0.7,0.0,1.7,4.7,4.6
